"Source Name","Program Name",Date/Time,"Data Source"
software,"QuickTime v.7.65.17.80","2009-11-24 17:11:29 UTC",jo-2009-11-24.E01
software,"Apple Application Support v.1.1.0","2009-11-24 17:09:59 UTC",jo-2009-11-24.E01
software,"Apple Software Update v.2.1.1.116","2009-11-24 17:09:32 UTC",jo-2009-11-24.E01
software,"Python 2.6.4 v.2.6.4150","2009-11-23 13:23:53 UTC",jo-2009-11-24.E01
software,"WebFldrs XP v.9.50.7523","2009-11-20 15:00:19 UTC",jo-2009-11-24.E01
software,MPlayer2,"2009-11-20 15:00:12 UTC",jo-2009-11-24.E01
software,"Update for Windows Internet Explorer 8 (KB976749) v.1","2009-11-20 14:57:21 UTC",jo-2009-11-24.E01
software,"Security Update for Windows Internet Explorer 8 (KB971961) v.1","2009-11-20 14:57:08 UTC",jo-2009-11-24.E01
software,"OpenOffice.org 3.1 v.3.1.9420","2009-11-20 14:38:27 UTC",jo-2009-11-24.E01
software,"Java(TM) 6 Update 16 v.6.0.160","2009-11-20 14:36:06 UTC",jo-2009-11-24.E01
software,"Mozilla Firefox (3.5.5) v.3.5.5 (en-US)","2009-11-20 14:34:59 UTC",jo-2009-11-24.E01
software,"Windows Genuine Advantage Notifications (KB905474) v.1.9.0040.0","2009-11-20 14:33:42 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB969947) v.1","2009-11-20 14:05:57 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB975467) v.1","2009-11-20 14:05:49 UTC",jo-2009-11-24.E01
software,"Update for Windows XP (KB968389) v.1","2009-11-20 14:05:41 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB969059) v.1","2009-11-20 14:05:30 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB958869) v.1","2009-11-20 14:05:23 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB971486) v.1","2009-11-20 14:05:16 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB974112) v.1","2009-11-20 14:05:01 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB974571) v.1","2009-11-20 14:04:53 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB975025) v.1","2009-11-20 14:04:46 UTC",jo-2009-11-24.E01
software,"Security Update for Windows Media Player (KB954155)","2009-11-20 14:04:40 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB973525) v.1","2009-11-20 14:04:35 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB974455) v.1","2009-11-20 14:04:28 UTC",jo-2009-11-24.E01
software,"Security Update for Windows Media Player (KB968816)","2009-11-20 14:04:13 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB971961) v.1","2009-11-20 14:04:07 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB956844) v.1","2009-11-20 14:04:01 UTC",jo-2009-11-24.E01
software,"Update for Windows Internet Explorer 8 (KB975364) v.1","2009-11-20 14:03:50 UTC",jo-2009-11-24.E01
software,"Security Update for Windows Internet Explorer 8 (KB974455) v.1","2009-11-20 14:03:42 UTC",jo-2009-11-24.E01
software,"Update for Windows XP (KB951978) v.1","2009-11-20 14:02:55 UTC",jo-2009-11-24.E01
software,IDNMitigationAPIs,"2009-11-20 14:02:47 UTC",jo-2009-11-24.E01
software,ie7,"2009-11-20 14:02:47 UTC",jo-2009-11-24.E01
software,"Windows Internet Explorer 8 v.20090308.140743","2009-11-20 14:02:47 UTC",jo-2009-11-24.E01
software,NLSDownlevelMapping,"2009-11-20 14:02:47 UTC",jo-2009-11-24.E01
software,"AVG 9.0","2009-11-20 13:55:34 UTC",jo-2009-11-24.E01
software,"Microsoft Visual C++ 2005 Redistributable v.8.0.59193","2009-11-20 13:55:34 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB961371-v2) v.2","2009-11-20 13:51:50 UTC",jo-2009-11-24.E01
software,"Hotfix for Windows XP (KB970653-v3) v.3","2009-11-20 13:51:44 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB971657) v.1","2009-11-20 13:51:32 UTC",jo-2009-11-24.E01
software,"Update for Windows XP (KB973815) v.1","2009-11-20 13:51:18 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB960859) v.1","2009-11-20 13:51:08 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB973507) v.1","2009-11-20 13:51:01 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB973354) v.1","2009-11-20 13:50:56 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB956744) v.1","2009-11-20 13:50:51 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB973869) v.1","2009-11-20 13:50:45 UTC",jo-2009-11-24.E01
software,"Security Update for Windows Media Player (KB973540)","2009-11-20 13:50:39 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB971557) v.1","2009-11-20 13:50:34 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB971633) v.1","2009-11-20 13:50:29 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB970238) v.1","2009-11-20 13:50:23 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB961501) v.1","2009-11-20 13:50:17 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB959426) v.1","2009-11-20 13:50:12 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB960803) v.1","2009-11-20 13:50:06 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB952004) v.1","2009-11-20 13:50:00 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB956572) v.1","2009-11-20 13:49:52 UTC",jo-2009-11-24.E01
software,"Security Update for Windows XP (KB923561) v.1","2009-11-20 13:49:37 UTC",jo-2009-11-24.E01
